seq,cpu,pid,src_pfn,dst_pfn,page_order,src_nid,dst_nid,mapcount,is_anon,page_was_mapped,lock_contended,lock_ns,unmap_ns,copy_ns,remap_ns,unlock_ns,total_ns,overhead_ns,result,try_migrate_ns,rocm_path,ro_swap_ns
1,1,73091,1297973,592911,0,1,0,1,1,1,0,42,6873,1036415,958,42,1054870,10540,0,6832,0,0
2,1,73117,1227190,550136,0,1,0,1,1,1,0,42,3208,8832,750,41,14414,1541,0,3166,0,0
3,1,73117,1292782,521023,0,1,0,1,1,1,0,0,625,494629,417,41,496253,541,0,584,0,0
4,1,73117,1252876,776266,0,1,0,1,1,1,0,42,334,749,83,0,1416,208,0,292,0,0
5,1,73117,1255914,626664,0,1,0,1,1,1,0,0,166,3291,125,0,3833,251,0,166,0,0
6,1,73117,1240709,597845,0,1,0,1,1,1,0,42,625,477798,333,0,479340,542,0,583,0,0
7,1,73117,1308198,602941,0,1,0,1,1,1,0,42,209,363691,292,0,364566,332,0,167,0,0
8,1,73146,1139964,520412,0,1,0,1,1,1,0,41,6464,6589,1168,0,15680,1418,0,6380,0,0
9,1,73149,1265728,505405,0,1,0,1,1,1,0,0,7132,4754,3253,41,23312,8132,0,7090,0,0
10,0,73150,1293347,351382,0,1,0,1,1,1,0,0,15055,5421,1168,41,22686,1001,0,15055,0,0
11,0,118180,664809,1293347,0,0,1,1,0,1,0,0,793,501,0,0,4629,3335,0,0,1,793
12,0,118180,617832,1232502,0,0,1,1,0,1,0,0,292,542,0,42,1293,417,0,0,1,292
13,0,118180,445217,1198794,0,0,1,1,0,1,0,0,292,542,0,42,1210,334,0,0,1,251
14,0,118180,623927,1202644,0,0,1,1,0,1,0,41,334,584,0,0,1251,292,0,0,1,250
15,0,118180,669796,1265572,0,0,1,1,0,1,0,0,291,543,0,42,1126,250,0,0,1,250
16,0,118180,506312,1275297,0,0,1,1,0,1,0,0,292,458,0,0,1126,376,0,0,1,250
17,0,118180,424969,1200696,0,0,1,1,0,1,0,41,292,542,0,42,1126,209,0,0,1,250
18,0,118180,505773,1236986,0,0,1,1,0,1,0,0,292,542,0,0,1251,417,0,0,1,292
19,0,118180,664302,1279472,0,0,1,1,0,1,0,0,292,458,0,0,1126,376,0,0,1,292
20,0,118180,758518,1250873,0,0,1,1,0,1,0,41,292,584,0,42,1251,292,0,0,1,251
21,0,118180,604651,1261310,0,0,1,1,0,1,0,0,292,542,0,42,1168,292,0,0,1,250
22,0,118180,400679,1247874,0,0,1,1,0,1,0,41,792,2419,0,0,3878,626,0,0,1,751
23,0,118180,658261,1143778,0,0,1,1,0,1,0,0,333,501,0,0,1251,417,0,0,1,250
24,0,118180,536204,1236853,0,0,1,1,0,1,0,0,334,626,0,0,1293,333,0,0,1,292
25,0,118180,606732,1268947,0,0,1,1,0,1,0,0,292,542,0,0,1209,375,0,0,1,250
26,0,118180,629061,1282512,0,0,1,1,0,1,0,0,292,584,0,42,1168,250,0,0,1,292
27,0,118180,536073,1197512,0,0,1,1,0,1,0,0,333,501,0,0,1210,376,0,0,1,292
28,0,118180,534535,1288417,0,0,1,1,0,1,0,42,292,542,0,42,1168,250,0,0,1,292
29,0,118180,635924,1170735,0,0,1,1,0,1,0,42,417,626,0,0,2127,1042,0,0,1,417
30,0,118180,630750,1242724,0,0,1,1,0,1,0,0,334,500,0,42,1168,292,0,0,1,250
31,0,118180,637049,1280960,0,0,1,1,0,1,0,41,333,584,0,0,1292,334,0,0,1,292
32,0,118180,632060,1187837,0,0,1,1,0,1,0,42,417,542,0,0,1376,375,0,0,1,417
33,0,118180,651037,1254763,0,0,1,1,0,1,0,0,417,668,0,0,1376,291,0,0,1,334
34,0,118180,549770,1151030,0,0,1,1,0,1,0,0,292,626,0,0,1335,417,0,0,1,292
35,0,118180,617859,1250771,0,0,1,1,0,1,0,0,375,501,0,0,1251,375,0,0,1,292
36,0,118180,737597,1232358,0,0,1,1,0,1,0,41,292,459,0,42,1168,334,0,0,1,292
37,0,118180,630752,1274577,0,0,1,1,0,1,0,41,292,500,0,0,1167,334,0,0,1,292
38,0,118180,632385,1158943,0,0,1,1,0,1,0,42,291,584,0,42,1168,209,0,0,1,250
39,0,118180,666630,1161601,0,0,1,1,0,1,0,0,292,542,0,42,1168,292,0,0,1,250
40,0,118180,675996,1282248,0,0,1,1,0,1,0,0,292,500,0,41,1084,251,0,0,1,250
41,0,118180,444795,1287600,0,0,1,1,0,1,0,42,375,501,0,0,1168,250,0,0,1,333
42,0,118180,712132,1255862,0,0,1,1,0,1,0,0,334,625,0,42,1293,292,0,0,1,250
43,0,118180,686664,1209068,0,0,1,1,0,1,0,0,334,625,0,41,1292,292,0,0,1,292
44,0,118180,613707,1274286,0,0,1,1,0,1,0,0,291,501,0,42,1126,292,0,0,1,250
45,0,118180,472404,1229274,0,0,1,1,0,1,0,42,376,459,0,0,1168,291,0,0,1,334
46,0,118180,432011,1249388,0,0,1,1,0,1,0,42,2794,625,0,42,3712,209,0,0,1,2752
47,0,118180,635823,1140703,0,0,1,1,0,1,0,42,417,543,0,0,1293,291,0,0,1,417
48,0,118180,584607,1224848,0,0,1,1,0,1,0,42,876,2377,0,0,3920,625,0,0,1,834
49,0,118180,617216,1227947,0,0,1,1,0,1,0,0,375,501,0,0,1376,500,0,0,1,375
50,0,118180,668224,1164403,0,0,1,1,0,1,0,0,2836,542,0,0,3712,334,0,0,1,2753
51,0,118180,609004,1274669,0,0,1,1,0,1,0,0,376,542,0,42,1251,291,0,0,1,334
52,0,118180,615036,1198274,0,0,1,1,0,1,0,0,334,500,0,0,1251,417,0,0,1,334
53,0,118180,734891,1177375,0,0,1,1,0,1,0,42,417,542,0,0,1251,250,0,0,1,334
54,0,118180,624390,1254011,0,0,1,1,0,1,0,0,334,501,0,41,1251,375,0,0,1,334
55,0,118180,616867,1190735,0,0,1,1,0,1,0,42,375,542,0,42,1210,209,0,0,1,333
56,0,118180,590293,1228162,0,0,1,1,0,1,0,0,500,542,0,0,2127,1085,0,0,1,500
57,0,118180,591587,1245824,0,0,1,1,0,1,0,42,375,626,0,42,1335,250,0,0,1,333
58,0,118180,591437,1207162,0,0,1,1,0,1,0,0,376,542,0,42,1251,291,0,0,1,292
59,0,118180,627356,1182344,0,0,1,1,0,1,0,42,417,501,0,0,1209,249,0,0,1,334
60,0,118180,635352,1274104,0,0,1,1,0,1,0,0,375,584,0,42,1376,375,0,0,1,333
61,0,118180,617316,1141519,0,0,1,1,0,1,0,0,375,542,0,0,1293,376,0,0,1,333
62,0,118180,566015,1166519,0,0,1,1,0,1,0,42,375,5088,0,0,5838,333,0,0,1,334
63,0,118180,419021,1214282,0,0,1,1,0,1,0,42,334,584,0,0,1293,333,0,0,1,334
64,0,118180,575739,1201097,0,0,1,1,0,1,0,42,334,584,0,42,1252,250,0,0,1,334
65,0,118180,631134,1266603,0,0,1,1,0,1,0,0,543,501,0,42,1418,332,0,0,1,543
66,0,118180,629442,1289481,0,0,1,1,0,1,0,41,334,542,0,0,1209,292,0,0,1,292
67,0,118180,627742,1158958,0,0,1,1,0,1,0,42,375,543,0,0,1209,249,0,0,1,334
68,0,118180,627046,1200015,0,0,1,1,0,1,0,42,375,667,0,0,1335,251,0,0,1,292
69,0,118180,627012,1153729,0,0,1,1,0,1,0,0,417,667,0,41,1376,251,0,0,1,375
70,0,118180,626989,1286530,0,0,1,1,0,1,0,0,334,459,0,41,1126,292,0,0,1,292
71,0,118180,626981,1233956,0,0,1,1,0,1,0,42,334,543,0,0,1251,332,0,0,1,334
72,0,118180,626893,1148431,0,0,1,1,0,1,0,42,334,459,0,42,1168,291,0,0,1,334
73,0,118180,626954,1294072,0,0,1,1,0,1,0,42,375,542,0,0,1251,292,0,0,1,334
74,0,118180,626868,1268635,0,0,1,1,0,1,0,0,334,500,0,0,1209,375,0,0,1,292
75,0,118180,626854,1268119,0,0,1,1,0,1,0,0,959,501,0,0,2002,542,0,0,1,917
76,0,118180,626851,1279213,0,0,1,1,0,1,0,42,375,376,0,41,1042,208,0,0,1,375
77,0,118180,626837,1194070,0,0,1,1,0,1,0,42,500,543,0,0,1418,333,0,0,1,459
78,0,118180,626820,1190856,0,0,1,1,0,1,0,0,375,459,0,0,1251,417,0,0,1,375
79,0,118180,626780,1196891,0,0,1,1,0,1,0,42,417,459,0,0,1210,292,0,0,1,376
80,0,118180,626768,1287151,0,0,1,1,0,1,0,0,333,376,0,42,1043,292,0,0,1,292
81,0,118180,626756,1273487,0,0,1,1,0,1,0,0,334,501,0,0,1251,416,0,0,1,334
82,0,118180,626748,1286733,0,0,1,1,0,1,0,42,417,584,0,42,1293,208,0,0,1,375
83,0,118180,626873,1153563,0,0,1,1,0,1,0,41,417,501,0,42,1209,208,0,0,1,376
84,0,118180,626905,1262392,0,0,1,1,0,1,0,0,375,542,0,0,1210,293,0,0,1,292
85,0,118180,627260,1141433,0,0,1,1,0,1,0,0,376,501,0,42,1293,374,0,0,1,376
86,0,118180,627225,1280911,0,0,1,1,0,1,0,0,334,500,0,41,1084,209,0,0,1,292
87,0,118180,627221,1249529,0,0,1,1,0,1,0,0,333,375,0,0,1126,418,0,0,1,333
88,0,118180,627200,1242367,0,0,1,1,0,1,0,0,417,459,0,0,1251,375,0,0,1,417
89,0,118180,627693,1227506,0,0,1,1,0,1,0,0,375,459,0,0,1209,375,0,0,1,334
90,0,118180,627689,1240460,0,0,1,1,0,1,0,0,292,376,0,42,1043,333,0,0,1,251
91,0,118180,627662,1208838,0,0,1,1,0,1,0,41,333,584,0,0,1209,251,0,0,1,333
92,0,118180,627582,1241483,0,0,1,1,0,1,0,42,292,500,0,42,1418,542,0,0,1,250
93,0,118180,627575,1297876,0,0,1,1,0,1,0,41,292,417,0,0,1042,292,0,0,1,250
94,0,118180,627567,1163282,0,0,1,1,0,1,0,0,292,542,0,42,1126,250,0,0,1,251
95,0,118180,627550,1298708,0,0,1,1,0,1,0,42,292,458,0,0,1084,292,0,0,1,250
96,0,118180,627512,1237506,0,0,1,1,0,1,0,0,292,501,0,41,1126,292,0,0,1,250
97,0,118180,627506,1203633,0,0,1,1,0,1,0,0,291,376,0,42,1001,292,0,0,1,250
98,0,118180,627467,1220719,0,0,1,1,0,1,0,0,291,543,0,42,1168,292,0,0,1,291
99,0,118180,627478,1266775,0,0,1,1,0,1,0,41,334,709,0,42,1334,208,0,0,1,292
100,0,118180,627418,1144776,0,0,1,1,0,1,0,41,334,542,0,0,1167,250,0,0,1,250
101,0,118180,627396,1245410,0,0,1,1,0,1,0,0,334,500,0,42,1209,333,0,0,1,334
102,0,118180,627387,1147613,0,0,1,1,0,1,0,0,292,542,0,42,1210,334,0,0,1,250
103,0,118180,627365,1207994,0,0,1,1,0,1,0,42,333,542,0,0,1168,251,0,0,1,251
104,0,118180,627353,1271614,0,0,1,1,0,1,0,42,292,542,0,0,1168,292,0,0,1,250
105,0,118180,627351,1253675,0,0,1,1,0,1,0,42,292,417,0,42,1001,208,0,0,1,292
106,0,118180,627310,1187848,0,0,1,1,0,1,0,0,292,584,0,41,1209,292,0,0,1,250
107,0,118180,627307,1212217,0,0,1,1,0,1,0,42,2335,376,0,0,3128,375,0,0,1,2335
108,0,118180,627293,1152578,0,0,1,1,0,1,0,42,291,501,0,0,1126,292,0,0,1,250
109,0,118180,627274,1224264,0,0,1,1,0,1,0,0,333,542,0,0,1209,334,0,0,1,251
110,0,118180,626962,1190201,0,0,1,1,0,1,0,42,333,501,0,0,1126,250,0,0,1,251
111,0,118180,627740,1293209,0,0,1,1,0,1,0,41,292,417,0,0,1042,292,0,0,1,250
112,0,118180,627739,1197399,0,0,1,1,0,1,0,0,292,376,0,0,1043,375,0,0,1,251
113,0,118180,627735,1263944,0,0,1,1,0,1,0,42,292,417,0,42,1084,291,0,0,1,250
114,0,118180,628217,1142924,0,0,1,1,0,1,0,0,4212,543,0,0,5130,375,0,0,1,4212
115,0,118180,734790,1153513,0,0,1,1,0,1,0,0,376,584,0,42,1293,291,0,0,1,334
116,0,118180,735874,1195300,0,0,1,1,0,1,0,42,583,543,0,42,1460,250,0,0,1,542
117,0,118180,630822,1263114,0,0,1,1,0,1,0,41,376,500,0,41,1167,209,0,0,1,334
118,0,118180,630061,1155148,0,0,1,1,0,1,0,0,375,459,0,0,1209,375,0,0,1,333
119,0,118180,630025,1151219,0,0,1,1,0,1,0,41,333,501,0,42,1126,209,0,0,1,333
120,0,118180,629924,1205277,0,0,1,1,0,1,0,0,333,543,0,42,1251,333,0,0,1,250
121,0,118180,629544,1198186,0,0,1,1,0,1,0,42,375,500,0,0,1168,251,0,0,1,292
122,0,118180,780177,1200941,0,0,1,1,0,1,0,0,375,584,0,0,1293,334,0,0,1,292
123,0,118180,627870,1250183,0,0,1,1,0,1,0,0,376,417,0,41,1167,333,0,0,1,376
124,0,118180,627852,1255855,0,0,1,1,0,1,0,0,375,500,0,0,1209,334,0,0,1,292
125,0,118180,634075,1184614,0,0,1,1,0,1,0,41,292,542,0,41,1167,251,0,0,1,292
126,0,118180,609518,1159702,0,0,1,1,0,1,0,0,334,458,0,0,1125,333,0,0,1,250
127,0,118180,660297,1231151,0,0,1,1,0,1,0,0,292,458,0,41,1126,335,0,0,1,250
128,0,118180,626475,1249587,0,0,1,1,0,1,0,0,292,500,0,42,1126,292,0,0,1,250
129,0,118180,617446,1193220,0,0,1,1,0,1,0,42,291,542,0,0,1168,293,0,0,1,250
130,0,118180,593269,1291847,0,0,1,1,0,1,0,0,1918,3712,0,42,5964,292,0,0,1,1876
131,0,118180,627801,1199623,0,0,1,1,0,1,0,42,292,542,0,42,1168,250,0,0,1,292
132,0,118180,626859,1224439,0,0,1,1,0,1,0,0,292,375,0,41,1042,334,0,0,1,250
133,0,118180,627761,1198807,0,0,1,1,0,1,0,0,292,500,0,42,1126,292,0,0,1,250
134,0,118180,699323,1236866,0,0,1,1,0,1,0,42,292,667,0,42,1293,250,0,0,1,250
135,0,118180,627576,1155259,0,0,1,1,0,1,0,41,292,334,0,42,959,250,0,0,1,292
136,0,118180,610716,1233287,0,0,1,1,0,1,0,42,334,584,0,42,1209,207,0,0,1,292
137,0,118180,630666,1283282,0,0,1,1,0,1,0,0,292,542,0,41,1209,334,0,0,1,250
138,0,118180,753862,1156050,0,0,1,1,0,1,0,0,292,500,0,42,1168,334,0,0,1,250
139,0,118180,620487,1139581,0,0,1,1,0,1,0,0,334,417,0,41,1251,459,0,0,1,334
140,0,118180,720267,1240669,0,0,1,1,0,1,0,42,292,667,0,41,1334,292,0,0,1,250
141,0,118180,620484,1291524,0,0,1,1,0,1,0,42,417,376,0,0,1084,249,0,0,1,334
142,0,118180,500984,1165504,0,0,1,1,0,1,0,0,376,501,0,42,1251,332,0,0,1,334
143,0,118180,627753,1187938,0,0,1,1,0,1,0,0,292,542,0,0,1210,376,0,0,1,251
144,0,118180,586126,1266656,0,0,1,1,0,1,0,0,291,2836,0,0,3503,376,0,0,1,250
145,0,118180,735991,1268731,0,0,1,1,0,1,0,0,459,667,0,41,2168,1001,0,0,1,459
146,0,118180,628210,1267633,0,0,1,1,0,1,0,42,417,459,0,42,1168,208,0,0,1,376
147,0,118180,628203,1274190,0,0,1,1,0,1,0,42,417,542,0,0,1251,250,0,0,1,417
148,0,118180,628197,1204171,0,0,1,1,0,1,0,42,333,500,0,42,1168,251,0,0,1,333
149,0,118180,628193,1242214,0,0,1,1,0,1,0,42,793,834,0,0,2294,625,0,0,1,751
150,0,118180,628187,1241094,0,0,1,1,0,1,0,42,334,667,0,0,1418,375,0,0,1,292
151,0,118180,628177,1188803,0,0,1,1,0,1,0,0,334,542,0,0,1209,333,0,0,1,250
152,0,118180,446769,1266720,0,0,1,1,0,1,0,42,667,5129,0,42,6881,1001,0,0,1,625
153,0,118180,522548,1240100,0,0,1,1,0,1,0,42,4838,625,0,42,5797,250,0,0,1,4796
154,0,118180,625379,1288094,0,0,1,1,0,1,0,41,334,542,0,41,1167,209,0,0,1,292
155,0,118180,537837,1196065,0,0,1,1,0,1,0,0,375,542,0,42,1251,292,0,0,1,333
156,0,118180,698568,1255406,0,0,1,1,0,1,0,0,334,542,0,41,1209,292,0,0,1,334
157,0,118180,664378,1241766,0,0,1,1,0,1,0,42,334,501,0,42,1168,249,0,0,1,292
158,0,118180,484825,1291965,0,0,1,1,0,1,0,0,375,501,0,0,1251,375,0,0,1,375
159,0,118180,612240,1254633,0,0,1,1,0,1,0,0,334,500,0,42,1168,292,0,0,1,334
160,0,118180,449158,1297547,0,0,1,1,0,1,0,42,417,584,0,0,1334,291,0,0,1,375
161,0,118180,679975,1280295,0,0,1,1,0,1,0,41,583,793,0,42,2419,960,0,0,1,542
162,0,118180,477426,1228194,0,0,1,1,0,1,0,41,417,709,0,0,1417,250,0,0,1,375
163,0,118180,574200,1225657,0,0,1,1,0,1,0,0,417,3044,0,0,3837,376,0,0,1,417
164,0,118180,631474,1196650,0,0,1,1,0,1,0,42,501,458,0,0,1335,334,0,0,1,459
165,0,118180,344340,1259306,0,0,1,1,0,1,0,42,376,584,0,0,1293,291,0,0,1,334
166,0,118180,443490,1214357,0,0,1,1,0,1,0,42,376,500,0,0,1210,292,0,0,1,334
167,0,118180,602517,1211954,0,0,1,1,0,1,0,0,333,500,0,42,1210,335,0,0,1,333
168,0,118180,776880,1213157,0,0,1,1,0,1,0,42,375,792,0,0,1502,293,0,0,1,333
169,0,118180,631898,1283226,0,0,1,1,0,1,0,0,375,542,0,42,1251,292,0,0,1,333
170,0,118180,783528,1233876,0,0,1,1,0,1,0,0,376,5129,0,0,5838,333,0,0,1,334
171,0,118180,535187,1267880,0,0,1,1,0,1,0,42,376,918,0,0,1626,290,0,0,1,334
172,0,118180,631072,1202447,0,0,1,1,0,1,0,41,417,542,0,42,1251,209,0,0,1,417
173,0,118180,609744,1290247,0,0,1,1,0,1,0,0,417,583,0,0,1335,335,0,0,1,375
174,0,118180,448867,1153952,0,0,1,1,0,1,0,42,334,584,0,41,1251,250,0,0,1,334
175,0,118180,620754,1241706,0,0,1,1,0,1,0,41,542,667,0,0,1543,293,0,0,1,500
176,0,118180,618056,1207784,0,0,1,1,0,1,0,0,375,542,0,0,1293,376,0,0,1,333
177,0,118180,465961,1229692,0,0,1,1,0,1,0,42,375,542,0,0,1210,251,0,0,1,291
178,0,118180,467472,1222778,0,0,1,1,0,1,0,0,375,542,0,42,1293,334,0,0,1,333
179,0,118180,467473,1254676,0,0,1,1,0,1,0,42,376,167,0,0,918,333,0,0,1,376
180,0,118180,462392,1224515,0,0,1,1,0,1,0,42,334,583,0,42,1210,209,0,0,1,334
181,0,118180,718346,1276048,0,0,1,1,0,1,0,42,459,542,0,0,1293,250,0,0,1,375
182,0,118180,727398,1267181,0,0,1,1,0,1,0,0,375,543,0,0,1251,333,0,0,1,333
183,0,118180,448654,1189003,0,0,1,1,0,1,0,0,375,501,0,0,1210,334,0,0,1,333
184,0,118180,481679,1203144,0,0,1,1,0,1,0,41,333,626,0,0,1292,292,0,0,1,292
185,0,118180,637536,1274039,0,0,1,1,0,1,0,0,542,501,0,42,1418,333,0,0,1,542
186,0,118180,448121,1176905,0,0,1,1,0,1,0,42,334,458,0,42,1168,292,0,0,1,292
187,0,118180,574251,1248018,0,0,1,1,0,1,0,0,376,501,0,0,1251,374,0,0,1,334
188,0,118180,465965,1190537,0,0,1,1,0,1,0,42,334,376,0,0,1043,291,0,0,1,292
189,0,118180,445498,1254528,0,0,1,1,0,1,0,0,334,500,0,41,1209,334,0,0,1,292
190,0,118180,574217,1162405,0,0,1,1,0,1,0,0,292,459,0,42,1126,333,0,0,1,292
191,0,118180,633652,1279897,0,0,1,1,0,1,0,42,292,542,0,41,1126,209,0,0,1,292
192,0,118180,619786,1266570,0,0,1,1,0,1,0,42,292,542,0,0,1209,333,0,0,1,250
193,0,118180,448613,1200699,0,0,1,1,0,1,0,0,292,542,0,42,1168,292,0,0,1,292
194,0,118180,617992,1266862,0,0,1,1,0,1,0,42,292,500,0,42,1085,209,0,0,1,250
195,0,118180,448866,1288204,0,0,1,1,0,1,0,0,292,501,0,42,1168,333,0,0,1,251
196,0,118180,625386,1143572,0,0,1,1,0,1,0,0,333,375,0,42,1084,334,0,0,1,292
197,0,118180,465960,1261079,0,0,1,1,0,1,0,42,292,375,0,41,1001,251,0,0,1,250
198,0,118180,462489,1202894,0,0,1,1,0,1,0,0,292,500,0,0,1167,375,0,0,1,292
199,0,118180,603073,1265299,0,0,1,1,0,1,0,41,292,542,0,42,1126,209,0,0,1,250
200,0,118180,627320,1286621,0,0,1,1,0,1,0,0,292,459,0,41,1126,334,0,0,1,292
201,0,118180,630612,1200545,0,0,1,1,0,1,0,41,292,542,0,41,1167,251,0,0,1,292
202,0,118180,627345,1269150,0,0,1,1,0,1,0,0,291,417,0,0,1043,335,0,0,1,250
203,0,118180,619522,1296654,0,0,1,1,0,1,0,42,334,542,0,0,1252,334,0,0,1,292
204,0,118180,607580,1195994,0,0,1,1,0,1,0,0,1126,55715,0,42,58133,1250,0,0,1,1085
205,0,118180,610413,1260960,0,0,1,1,0,1,0,0,292,500,0,42,1585,751,0,0,1,292
206,0,118180,665058,1191186,0,0,1,1,0,1,0,0,292,500,0,0,1209,417,0,0,1,292
207,0,118180,626255,1231270,0,0,1,1,0,1,0,0,333,542,0,42,1210,293,0,0,1,251
208,0,118180,618293,1296668,0,0,1,1,0,1,0,42,292,584,0,0,1210,292,0,0,1,251
209,0,118180,703238,1260627,0,0,1,1,0,1,0,0,292,542,0,42,1209,333,0,0,1,250
210,0,118180,626744,1205187,0,0,1,1,0,1,0,42,417,417,0,0,1252,376,0,0,1,376
211,0,118180,693361,1278553,0,0,1,1,0,1,0,41,1501,542,0,0,2418,334,0,0,1,1460
212,0,118180,637357,1249991,0,0,1,1,0,1,0,0,333,542,0,42,1168,251,0,0,1,333
213,0,118180,466825,1218450,0,0,1,1,0,1,0,42,375,542,0,0,1210,251,0,0,1,292
214,0,118180,517373,1164574,0,0,1,1,0,1,0,0,334,501,0,0,1251,416,0,0,1,334
215,0,118180,643108,1189451,0,0,1,1,0,1,0,0,417,542,0,0,1251,292,0,0,1,375
216,0,118180,481341,1265581,0,0,1,1,0,1,0,0,334,584,0,41,1251,292,0,0,1,334
217,0,118180,637395,1288192,0,0,1,1,0,1,0,0,376,458,0,0,1209,375,0,0,1,334
218,0,118180,637072,1196543,0,0,1,1,0,1,0,41,376,458,0,0,1209,334,0,0,1,334
219,0,118180,444186,1215100,0,0,1,1,0,1,0,42,375,500,0,42,1168,209,0,0,1,375
220,0,118180,484810,1280119,0,0,1,1,0,1,0,41,333,584,0,42,1209,209,0,0,1,291
221,0,118180,535176,1238850,0,0,1,1,0,1,0,0,333,542,0,0,1293,418,0,0,1,251
222,0,118180,548259,1205787,0,0,1,1,0,1,0,0,334,584,0,41,1251,292,0,0,1,334
223,0,118180,714989,1265747,0,0,1,1,0,1,0,0,376,583,0,0,1293,334,0,0,1,376
224,0,118180,637767,1214243,0,0,1,1,0,1,0,0,292,542,0,0,1209,375,0,0,1,292
225,0,118180,639212,1225522,0,0,1,1,0,1,0,42,292,625,0,0,1251,292,0,0,1,250
226,0,118180,443273,1193863,0,0,1,1,0,1,0,41,3461,459,0,0,4253,292,0,0,1,3461
227,0,118180,447647,1203903,0,0,1,1,0,1,0,42,417,542,0,42,1335,292,0,0,1,417
228,0,118180,444102,1152795,0,0,1,1,0,1,0,41,584,584,0,0,2294,1085,0,0,1,500
229,0,118180,692451,1279807,0,0,1,1,0,1,0,42,334,584,0,0,1293,333,0,0,1,334
230,0,118180,496367,1242314,0,0,1,1,0,1,0,0,334,584,0,42,1251,291,0,0,1,334
231,0,118180,607682,1161349,0,0,1,1,0,1,0,0,375,500,0,41,1251,335,0,0,1,375
232,0,118180,485045,1278647,0,0,1,1,0,1,0,42,334,542,0,0,1210,292,0,0,1,292
233,0,118180,466796,1157360,0,0,1,1,0,1,0,0,375,542,0,41,1251,293,0,0,1,334
234,0,118180,485085,1212452,0,0,1,1,0,1,0,0,375,501,0,42,1210,292,0,0,1,333
235,0,118180,447642,1176771,0,0,1,1,0,1,0,0,417,417,0,0,1167,333,0,0,1,375
236,0,118180,485044,1297385,0,0,1,1,0,1,0,0,334,375,0,0,1126,417,0,0,1,334
237,0,118180,485084,1227325,0,0,1,1,0,1,0,0,375,375,0,0,1084,334,0,0,1,292
238,0,118180,534937,1228677,0,0,1,1,0,1,0,0,376,542,0,0,1251,333,0,0,1,292
239,0,118180,534936,1285010,0,0,1,1,0,1,0,42,375,333,0,0,1043,293,0,0,1,334
240,0,118180,448307,1207357,0,0,1,1,0,1,0,41,376,542,0,42,1209,208,0,0,1,334
241,0,118180,447646,1247379,0,0,1,1,0,1,0,42,542,500,0,0,2210,1126,0,0,1,500
242,0,118180,568835,1291064,0,0,1,1,0,1,0,0,375,5630,0,0,6338,333,0,0,1,333
243,0,118180,448098,1294575,0,0,1,1,0,1,0,42,375,500,0,0,1168,251,0,0,1,334
244,0,118180,448120,1143537,0,0,1,1,0,1,0,0,375,375,0,0,1126,376,0,0,1,334
245,0,118180,448151,1293579,0,0,1,1,0,1,0,41,375,584,0,0,1292,292,0,0,1,333
246,0,118180,467759,1299170,0,0,1,1,0,1,0,0,417,626,0,0,1334,291,0,0,1,334
247,0,118180,605004,1237197,0,0,1,1,0,1,0,42,417,583,0,42,1293,209,0,0,1,334
248,0,118180,483631,1204205,0,0,1,1,0,1,0,42,876,625,0,41,1835,251,0,0,1,876
249,0,118180,513524,1206629,0,0,1,1,0,1,0,0,334,542,0,0,1251,375,0,0,1,334
250,0,118180,625533,1262952,0,0,1,1,0,1,0,0,375,584,0,42,1293,292,0,0,1,375
251,0,118180,608271,1158160,0,0,1,1,0,1,0,42,417,625,0,42,1377,251,0,0,1,375
252,0,118180,473610,1201344,0,0,1,1,0,1,0,0,334,543,0,41,1251,333,0,0,1,292
253,0,118180,369117,1211748,0,0,1,1,0,1,0,42,417,583,0,42,1293,209,0,0,1,375
254,0,118180,422290,1216966,0,0,1,1,0,1,0,42,418,583,0,42,1334,249,0,0,1,334
255,0,118180,369420,1296952,0,0,1,1,0,1,0,0,333,542,0,42,1210,293,0,0,1,292
256,0,118180,779566,1294895,0,0,1,1,0,1,0,0,375,500,0,0,1293,418,0,0,1,375
257,0,118180,521432,1227359,0,0,1,1,0,1,0,0,333,542,0,42,1251,334,0,0,1,292
258,0,118180,506727,1256021,0,0,1,1,0,1,0,0,334,542,0,0,1292,416,0,0,1,334
259,0,118180,779373,1162381,0,0,1,1,0,1,0,0,333,500,0,42,1209,334,0,0,1,333
260,0,118180,473871,1152919,0,0,1,1,0,1,0,0,459,542,0,0,1376,375,0,0,1,417
261,0,118180,625343,1217295,0,0,1,1,0,1,0,42,292,584,0,0,1251,333,0,0,1,251
262,0,118180,556553,1223907,0,0,1,1,0,1,0,42,793,2336,0,0,3837,666,0,0,1,751
263,0,118180,784789,1191619,0,0,1,1,0,1,0,42,292,542,0,41,1251,334,0,0,1,292
264,0,118180,601535,1287213,0,0,1,1,0,1,0,42,292,583,0,0,1210,293,0,0,1,250
265,0,118180,462754,1287016,0,0,1,1,0,1,0,42,292,500,0,0,1126,292,0,0,1,250
266,0,118180,698889,1282665,0,0,1,1,0,1,0,0,292,542,0,42,1168,292,0,0,1,292
267,0,118180,779531,1275625,0,0,1,1,0,1,0,42,334,542,0,42,1293,333,0,0,1,292
268,0,118180,592323,1241591,0,0,1,1,0,1,0,0,292,500,0,0,1167,375,0,0,1,250
269,0,118180,505609,1308306,0,0,1,1,0,1,0,0,459,542,0,41,2085,1043,0,0,1,417
270,0,118180,422741,1234473,0,0,1,1,0,1,0,42,292,543,0,0,1209,332,0,0,1,250
